NAME	DESCRIPTION	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_experimental	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_control
TBC1D19	na	7.26	4.55
F730043M19RIK	na	0.67	0.42
RCN3	na	13.03	8.17
ZFP973	na	18.35	11.51
LAYN	na	1.61	1.01
PDCD6	na	77.13	48.43
PCDHGB7	na	1.29	0.81
EML4	na	16.61	10.44
FAM122B	na	9.99	6.28
CD300LD4	na	3.07	1.93
WDR3	na	20.96	13.18
ACRBP	na	7.06	4.44
NEK4	na	4.69	2.95
PRR3	na	17.23	10.84
CDCA8	na	71.92	45.25
TMEM170B	na	5.69	3.58
CYTH3	na	13.84	8.71
PRSS23	na	5.72	3.6
9330159M07RIK	na	1.97	1.24
OSGIN1	na	1.97	1.24
DENND1B	na	9.45	5.95
MATR3	na	112.0	70.52
TMEM222	na	54.65	34.41
SMAD4	na	40.72	25.64
CREB3L1	na	4.51	2.84
MGEA5	na	84.13	53.0
HGS	na	32.33	20.37
GPS2	na	121.75	76.73
P2RY2	na	1.19	0.75
SNORA33	na	489.26	308.43
IQCG	na	0.46	0.29
COL4A5	na	0.46	0.29
PPIC	na	13.6	8.58
CDCA3	na	147.06	92.8
PALB2	na	5.15	3.25
MAFK	na	25.25	15.94
TARBP1	na	5.1	3.22
ZWINT	na	64.69	40.85
GTF3C2	na	40.78	25.76
ERCC5	na	10.4	6.57
GJA4	na	2.31	1.46
MTRF1	na	5.22	3.3
PHKA2	na	9.0	5.69
5530601H04RIK	na	7.97	5.04
RNF20	na	29.57	18.7
MALAT1	na	39.07	24.71
ZBTB37	na	4.19	2.65
PLP2	na	98.06	62.03
ZMYM3	na	16.63	10.52
RPGRIP1L	na	4.22	2.67
1810022K09RIK	na	242.78	153.62
NUDT21	na	181.74	115.01
ZC3H7B	na	30.64	19.39
HMGA2-PS1	na	1.58	1.0
ZFP687	na	16.19	10.25
GTF3C3	na	10.96	6.94
GPR161	na	0.3	0.19
MTERF1B	na	2.4	1.52
TMEM259	na	78.36	49.66
MTBP	na	10.76	6.82
KHK	na	12.16	7.71
TTC28	na	3.8	2.41
TMX4	na	10.72	6.8
IRAK1BP1	na	4.54	2.88
GAA	na	21.2	13.45
CD63	na	98.98	62.81
RABEPK	na	15.39	9.77
RPGR	na	10.19	6.47
ILF3	na	55.78	35.43
LPXN	na	29.81	18.94
RNF145	na	83.05	52.77
GM44505	na	3.1	1.97
SLC9A8	na	14.16	9.0
MAN2A2	na	30.05	19.1
TIMP2	na	76.77	48.81
ABHD2	na	19.53	12.42
NSUN3	na	11.0	7.0
PTGES3L	na	0.77	0.49
ZXDA	na	1.76	1.12
TIFA	na	5.64	3.59
SIMC1	na	4.21	2.68
CBLL1	na	18.89	12.03
UXS1	na	31.37	20.01
GNA12	na	22.26	14.2
4930581F22RIK	na	2.79	1.78
1810043G02RIK	na	14.42	9.2
MRPL35	na	13.15	8.39
NISCH	na	47.09	30.05
FAT1	na	2.93	1.87
SSB	na	179.3	114.44
KNSTRN	na	31.96	20.4
INSL5	na	18.33	11.7
FBXO34	na	12.45	7.95
GM12216	na	8.19	5.23
D730005E14RIK	na	6.06	3.87
EPB41L4AOS	na	32.03	20.46
RFT1	na	9.94	6.35
NME7	na	19.91	12.72
GNAI3	na	106.39	67.97
2700081O15RIK	na	17.31	11.06
ZEB2	na	6.26	4.0
XRCC3	na	11.14	7.12
ABCA1	na	14.19	9.07
D5ERTD579E	na	30.96	19.79
ZBTB22	na	17.0	10.87
PTPN4	na	7.35	4.7
AGBL5	na	17.89	11.44
A730008H23RIK	na	20.14	12.88
PUS10	na	15.65	10.01
FIP1L1	na	66.59	42.6
GM14322	na	4.58	2.93
BRD8	na	31.38	20.08
MAPK8IP3	na	17.72	11.34
PPP1R14B	na	241.01	154.24
1110020A21RIK	na	2.25	1.44
CSNK2A2	na	14.2	9.09
B4GALT3	na	16.09	10.3
VMP1	na	28.74	18.4
CPNE2	na	9.37	6.0
DIS3L2	na	15.24	9.76
OSBPL7	na	9.19	5.89
4933412E12RIK	na	5.46	3.5
SCPEP1	na	20.49	13.14
HIST1H2BJ	na	10.46	6.71
SPIRE1	na	2.79	1.79
PRKCD	na	43.95	28.2
TRIM35	na	30.95	19.86
SETMAR	na	6.17	3.96
CERCAM	na	4.16	2.67
ZFP810	na	11.31	7.26
WDTC1	na	45.86	29.44
QPCTL	na	9.58	6.15
PEX1	na	7.04	4.52
AHSA2	na	8.13	5.22
TRIM23	na	11.57	7.43
HOMEZ	na	3.47	2.23
SLC41A3	na	4.59	2.95
PPOX	na	15.2	9.77
ASB7	na	8.85	5.69
9030025P20RIK	na	5.21	3.35
RALGPS2	na	24.67	15.87
PDLIM5	na	13.1	8.43
ATXN7L1	na	42.19	27.15
USP8	na	32.7	21.05
IL1R1	na	5.98	3.85
VBP1	na	71.8	46.23
UBAP2	na	45.19	29.1
CSTF3	na	23.68	15.25
ESF1	na	15.82	10.19
ANKZF1	na	7.79	5.02
4930470H14RIK	na	7.51	4.84
CLIP1	na	17.64	11.37
NUP98	na	19.73	12.72
HMMR	na	28.9	18.64
ZFP938	na	4.62	2.98
ZFP358	na	26.2	16.9
PELP1	na	18.43	11.89
ARGLU1	na	61.68	39.8
0610040B10RIK	na	6.26	4.04
RAB28	na	29.3	18.91
TYRO3	na	0.79	0.51
BRI3BP	na	10.36	6.69
MYO1D	na	2.57	1.66
LIX1	na	0.65	0.42
AHNAK	na	12.58	8.13
SBSN	na	16.29	10.53
GM16675	na	10.1	6.53
LDB2	na	1.67	1.08
ZCCHC7	na	22.03	14.25
SPRR1A	na	6.8	4.4
SLC38A9	na	9.55	6.18
FAM91A1	na	32.25	20.87
NME2	na	316.02	204.52
1500015A07RIK	na	5.84	3.78
NFKBIZ	na	5.33	3.45
TCEANC	na	4.99	3.23
COPB1	na	68.0	44.03
HAUS6	na	14.1	9.13
CFP	na	44.83	29.03
HDAC7	na	180.0	116.57
DDX19B	na	12.69	8.22
PDGFRA	na	3.01	1.95
1810034E14RIK	na	4.26	2.76
TSPAN4	na	11.56	7.49
SERPINI1	na	2.5	1.62
TATDN1	na	14.29	9.26
SUPT7L	na	13.78	8.93
CHST11	na	9.85	6.39
R74862	na	2.25	1.46
TFG	na	69.24	44.93
ZFAND2A	na	14.64	9.5
FICD	na	4.56	2.96
NCEH1	na	10.55	6.85
RPL26	na	2835.28	1841.05
AP4E1	na	8.48	5.51
ANKS3	na	13.62	8.85
NSRP1	na	19.77	12.85
DCLRE1A	na	2.43	1.58
D930016D06RIK	na	4.66	3.03
ZCCHC2	na	13.38	8.7
USP3	na	50.22	32.67
CLEC12A	na	12.74	8.29
PPP1R16A	na	12.23	7.96
PGLS	na	180.78	117.71
SLC30A6	na	12.67	8.25
CAMSAP1	na	5.85	3.81
RBM15	na	8.7	5.67
ABTB1	na	37.28	24.31
STK35	na	6.87	4.48
CLK2	na	11.01	7.18
INTS2	na	7.16	4.67
MIDN	na	87.74	57.24
LUZP1	na	5.38	3.51
ATN1	na	24.43	15.94
MICAL3	na	6.85	4.47
CEP162	na	5.21	3.4
GM5643	na	10.91	7.12
SOX17	na	0.72	0.47
COPB2	na	83.96	54.81
MZT2	na	25.41	16.59
EPM2AIP1	na	18.64	12.17
GNL3	na	42.87	27.99
RPL21	na	618.19	403.64
TMEM128	na	53.72	35.08
TYR	na	0.49	0.32
CCL21A	na	507.77	331.62
ATG9B	na	1.73	1.13
TLK2	na	32.15	21.0
YBEY	na	2.05	1.34
STRADA	na	17.82	11.65
CREBZF	na	23.6	15.43
ELMOD3	na	18.2	11.9
LGALS3BP	na	133.54	87.34
SAMD4B	na	22.96	15.02
RPTOR	na	13.22	8.65
NSMCE2	na	65.22	42.69
PNPT1	na	27.23	17.83
DENND2D	na	16.66	10.91
CC2D1A	na	20.0	13.1
MVD	na	8.87	5.81
MIS18A	na	42.38	27.76
CENPA	na	103.48	67.79
MIOS	na	13.02	8.53
CLEC1A	na	0.58	0.38
RPL31-PS12	na	571.88	374.9
FAM175A	na	11.41	7.48
FAM53B	na	14.46	9.48
UNK	na	19.0	12.46
PEAK1	na	5.93	3.89
AU019823	na	23.43	15.37
ZFAND1	na	13.49	8.85
SEC23B	na	34.92	22.91
FAM219A	na	9.48	6.22
SLC41A2	na	0.64	0.42
TIAL1	na	23.37	15.34
RPL23A	na	4823.27	3166.03
ZFP473	na	1.66	1.09
DICER1	na	15.73	10.33
PFAS	na	7.61	5.0
GM15706	na	2.45	1.61
SLC22A15	na	2.51	1.65
9930014A18RIK	na	1.08	0.71
4930451G09RIK	na	0.73	0.48
NUDT22	na	14.4	9.47
ZFP688	na	11.78	7.75
PARP9	na	31.14	20.49
NFE2L2	na	49.43	32.53
TMC4	na	3.92	2.58
SLC38A1	na	42.1	27.71
PARN	na	23.5	15.47
MPHOSPH9	na	12.15	8.0
SMARCAD1	na	22.34	14.71
PRMT7	na	17.93	11.81
MKL2	na	6.04	3.98
UGDH	na	36.42	24.0
ZDHHC17	na	16.87	11.12
SYT13	na	43.66	28.78
AP3B1	na	38.13	25.14
HECTD1	na	31.3	20.64
IER3IP1	na	51.38	33.89
ZFP384	na	47.36	31.24
DPYSL2	na	5.26	3.47
CRTAP	na	11.96	7.89
CCDC102A	na	2.47	1.63
GALNT16	na	1.0	0.66
HNRNPA1	na	328.27	216.66
RTEL1	na	13.51	8.92
TFEC	na	2.62	1.73
PARVB	na	5.24	3.46
LYST	na	22.04	14.56
RBM41	na	10.26	6.78
ZFP462	na	1.15	0.76
BRD1	na	32.07	21.2
SASH1	na	4.84	3.2
DHX15	na	162.0	107.12
RCC1	na	42.46	28.08
NES	na	0.65	0.43
BMS1	na	28.15	18.63
RBBP8	na	28.9	19.14
CRAMP1L	na	13.18	8.73
SRSF11	na	101.26	67.08
RBM22	na	73.33	48.58
RPL7	na	2416.13	1600.74
WDR34	na	8.27	5.48
TNNI2	na	5.9	3.91
SLC15A2	na	26.48	17.55
GM10785	na	1.75	1.16
FBLN5	na	2.82	1.87
CCDC30	na	10.75	7.13
REST	na	16.75	11.11
TSSC1	na	23.05	15.29
VPS39	na	25.94	17.21
RAB11FIP5	na	5.47	3.63
MFN1	na	9.34	6.2
PARP2	na	30.29	20.11
SH2B3	na	16.25	10.79
SLC27A1	na	25.0	16.6
WBP11	na	79.16	52.57
MICALL1	na	10.79	7.17
HIRA	na	23.46	15.59
KPNA2	na	151.2	100.48
XAB2	na	44.6	29.66
PCGF3	na	25.18	16.75
ZFP966	na	32.2	21.42
CYP20A1	na	7.74	5.15
XRCC2	na	5.26	3.5
CNOT4	na	23.98	15.96
FBRS	na	60.31	40.14
BMI1	na	28.02	18.65
TTC17	na	15.76	10.49
UBN2	na	6.34	4.22
UBFD1	na	14.06	9.36
GMIP	na	21.87	14.56
PAXBP1	na	21.01	14.0
GZMA	na	167.43	111.6
GAB3	na	3.72	2.48
BAMBI	na	1.44	0.96
PCDHGA3	na	0.57	0.38
PMAIP1	na	3.42	2.28
VPS11	na	23.87	15.92
BIVM	na	7.69	5.13
RBM26	na	22.51	15.02
SLC39A8	na	5.59	3.73
PRPF40A	na	77.96	52.02
CDCA7L	na	12.79	8.54
CD300LD	na	2.89	1.93
CSNK1D	na	64.61	43.15
ECT2	na	30.42	20.32
PTPRS	na	14.94	9.98
GAK	na	51.82	34.62
RAD51D	na	10.79	7.21
SEC31A	na	51.23	34.24
RASIP1	na	1.72	1.15
ITGAV	na	6.64	4.44
NOC4L	na	24.12	16.13
PIGF	na	13.74	9.19
PUS1	na	11.36	7.6
NOB1	na	29.49	19.73
SF1	na	125.23	83.8
KANSL3	na	30.44	20.37
GCC2	na	12.97	8.68
PTPRB	na	2.54	1.7
CEP131	na	3.81	2.55
DDIAS	na	6.14	4.11
MED9	na	13.04	8.73
WDR45B	na	35.37	23.69
SNHG6	na	110.21	73.82
FLYWCH1	na	15.91	10.66
ITPRIP	na	18.89	12.66
ZSCAN25	na	12.74	8.54
ZMYM5	na	14.56	9.76
CENPN	na	26.0	17.43
SPATA2	na	21.36	14.32
PBX3	na	5.01	3.36
FTSJ3	na	30.16	20.23
NDC80	na	32.71	21.95
OPA1	na	23.44	15.73
ZFP119A	na	2.22	1.49
TFRC	na	18.62	12.5
LRG1	na	17.16	11.52
ZFP945	na	4.26	2.86
CDH3	na	4.72	3.17
DDX52	na	36.61	24.59
DDX51	na	7.31	4.91
RPL13	na	1829.95	1229.42
MSANTD2	na	8.35	5.61
TGFBR3L	na	2.35	1.58
ZFP784	na	5.86	3.94
RIC8B	na	7.6	5.11
SEC63	na	30.54	20.54
CCR5	na	3.39	2.28
IFI30	na	99.84	67.15
PRKRIR	na	49.79	33.5
PDCD11	na	8.93	6.01
SPNS1	na	14.32	9.64
CLEC4N	na	23.41	15.76
BCAP29	na	22.34	15.04
D3ERTD751E	na	6.06	4.08
GMEB2	na	20.05	13.5
SETDB2	na	2.48	1.67
ZDHHC12	na	16.17	10.89
PIK3R4	na	8.3	5.59
CYP51	na	9.87	6.65
NR2F2	na	1.38	0.93
TMEM132A	na	1.84	1.24
RIOK1	na	29.13	19.64
SF3B6	na	172.86	116.55
CLOCK	na	6.08	4.1
DIXDC1	na	0.83	0.56
PODN	na	2.89	1.95
SCRN3	na	3.69	2.49
SLC20A2	na	18.58	12.54
MARCKS	na	87.14	58.82
ZFP512B	na	14.16	9.56
TNRC6B	na	12.9	8.71
CSF1	na	6.96	4.7
ZKSCAN3	na	14.63	9.88
SOGA1	na	1.54	1.04
1810055G02RIK	na	11.28	7.62
ADAMTSL4	na	1.11	0.75
PPP1R26	na	0.37	0.25
KDM6A	na	18.42	12.45
ERCC2	na	13.95	9.43
SNRPA	na	115.36	77.99
RNPS1	na	155.43	105.1
KIF24	na	3.83	2.59
IQGAP1	na	73.56	49.75
GOLGA2	na	27.41	18.54
RPAP3	na	20.43	13.82
AP4M1	na	7.82	5.29
SNRNP48	na	18.67	12.63
PRKRA	na	13.23	8.95
RCCD1	na	3.71	2.51
4921524J17RIK	na	25.58	17.31
RPL37RT	na	333.11	225.42
ZRANB1	na	22.44	15.19
PACSIN2	na	24.5	16.59
ARL6IP4	na	68.11	46.13
CYGB	na	7.75	5.25
ORC3	na	19.36	13.12
MYSM1	na	11.45	7.76
PCGF6	na	6.83	4.63
CASC3	na	37.38	25.34
TAF1	na	16.63	11.28
SFMBT2	na	1.43	0.97
BC048403	na	3.7	2.51
TMEM198B	na	5.69	3.86
RHOJ	na	6.19	4.2
SPI1	na	25.32	17.18
NLE1	na	11.79	8.0
TBCE	na	25.39	17.23
ZC3HAV1	na	40.53	27.51
CLK4	na	32.01	21.73
BBS5	na	3.49	2.37
MED12	na	21.41	14.54
FAM222B	na	5.86	3.98
KAT6B	na	12.25	8.32
UGGT2	na	0.53	0.36
SLC11A1	na	5.77	3.92
VWA9	na	38.62	26.25
USP28	na	6.81	4.63
ELL	na	20.06	13.64
ACER3	na	5.69	3.87
4932438A13RIK	na	21.62	14.71
RPS18	na	2965.14	2017.69
MAML1	na	16.87	11.48
PRRC1	na	6.86	4.67
DBHOS	na	0.94	0.64
LRIG1	na	19.43	13.23
PUS7	na	8.81	6.0
ZKSCAN8	na	6.02	4.1
PJA1	na	23.85	16.25
XXYLT1	na	6.97	4.75
MFSD7B	na	13.57	9.25
SSH3	na	6.22	4.24
CELF1	na	44.16	30.11
CCDC32	na	13.36	9.11
GSTO1	na	41.72	28.45
JOSD1	na	18.55	12.65
SUPT6	na	37.05	25.27
KIF22	na	58.54	39.93
CCDC66	na	10.98	7.49
ZMIZ2	na	68.02	46.42
POLR2I	na	58.49	39.92
GM11696	na	2.52	1.72
1700007L15RIK	na	5.83	3.98
9430016H08RIK	na	25.25	17.24
RNF157	na	307.31	209.85
PCIF1	na	75.85	51.8
SPACA6	na	1.42	0.97
GPALPP1	na	23.32	15.93
EGFR	na	3.44	2.35
GATA2	na	1.01	0.69
WSB1	na	37.38	25.54
HLTF	na	17.68	12.08
GLRX	na	43.2	29.52
RPL12	na	3692.62	2523.47
SCAI	na	8.28	5.66
SNRNP70	na	186.28	127.37
SSR1	na	21.41	14.64
TONSL	na	5.63	3.85
NCSTN	na	47.73	32.64
PTP4A2	na	227.49	155.62
GATM	na	5.16	3.53
RCN2	na	31.0	21.21
ZFP157	na	5.45	3.73
WBP1L	na	48.64	33.29
THRA	na	28.0	19.17
THEM6	na	88.93	60.9
MB21D1	na	2.57	1.76
FBXO22	na	22.98	15.74
ALDH1B1	na	8.7	5.96
DIDO1	na	27.44	18.8
MAST3	na	38.81	26.59
D130020L05RIK	na	1.08	0.74
TCTEX1D2	na	6.64	4.55
SFXN4	na	1.59	1.09
A830080D01RIK	na	9.13	6.26
LMNA	na	10.69	7.33
EARS2	na	2.8	1.92
ARID4B	na	18.78	12.88
EXOC2	na	30.59	20.98
CTSH	na	66.44	45.57
RPRD2	na	11.43	7.84
9130221H12RIK	na	15.7	10.77
ELP3	na	26.23	18.0
MBD4	na	13.93	9.56
PMF1	na	106.15	72.85
IFT57	na	14.58	10.01
ARHGAP18	na	14.65	10.06
WFDC17	na	50.82	34.9
ZSCAN21	na	25.35	17.41
RACGAP1	na	73.35	50.38
DIAPH3	na	15.84	10.88
UNC5B	na	0.99	0.68
KAT2A	na	25.75	17.69
GM2011	na	2.62	1.8
HIST1H2AI	na	15.79	10.85
RLF	na	16.28	11.19
PTPRO	na	1.12	0.77
TLR4	na	2.56	1.76
DMXL2	na	0.96	0.66
THTPA	na	10.18	7.0
NUCKS1	na	53.69	36.92
USP22	na	29.67	20.41
NUDC	na	112.43	77.41
RPL35	na	4167.1	2869.21
FNDC3A	na	16.99	11.7
RUFY2	na	7.1	4.89
ZFP219	na	50.87	35.04
RPS28	na	49.21	33.91
ATM	na	7.31	5.04
RNF38	na	41.93	28.91
AAAS	na	36.28	25.02
PRRC2C	na	59.52	41.05
RNF6	na	28.04	19.34
FAM118A	na	7.8	5.38
PCNT	na	12.12	8.36
PLS3	na	10.19	7.03
MRS2	na	14.26	9.84
GRK4	na	3.1	2.14
GPATCH2	na	9.56	6.6
TMEM248	na	26.39	18.22
CENPB	na	54.74	37.8
RFWD3	na	35.97	24.85
ABHD17B	na	14.88	10.28
SETD2	na	37.43	25.86
KCTD3	na	10.87	7.51
PAXIP1	na	24.48	16.92
NR3C1	na	52.99	36.66
SEC24A	na	5.55	3.84
ZFP46	na	9.06	6.27
CCDC15	na	6.04	4.18
SMYD2	na	20.31	14.06
TPP2	na	32.34	22.39
PPP2CB	na	66.96	46.36
LRRC58	na	13.1	9.07
CCT8	na	118.4	81.99
GPATCH8	na	21.34	14.78
FBL	na	160.45	111.14
AKAP8L	na	22.95	15.9
ZFP566	na	5.18	3.59
RNF138	na	18.54	12.85
NRDE2	na	13.85	9.6
DAZAP1	na	90.38	62.65
ZFP970	na	16.63	11.53
GUSB	na	27.59	19.13
SLMAP	na	28.43	19.72
RBMX2	na	13.91	9.65
JUN	na	8.23	5.71
PACRGL	na	7.97	5.53
D11WSU47E	na	6.51	4.52
RPL18A	na	2058.36	1429.16
ADAM1A	na	1.08	0.75
TAF2	na	24.49	17.02
STRIP2	na	4.82	3.35
BBS12	na	2.79	1.94
CBFA2T2	na	10.87	7.56
MFSD1	na	26.11	18.16
DHRSX	na	17.38	12.09
NCAPH	na	43.19	30.05
PRDM10	na	6.88	4.79
MTMR2	na	41.59	28.97
FRRS1	na	6.69	4.66
MORN1	na	1.78	1.24
MARCKSL1	na	168.89	117.68
PLEKHA3	na	15.47	10.78
FAM35A	na	5.84	4.07
GM6548	na	8.89	6.2
UBE2E3	na	67.19	46.86
PDCL3	na	46.28	32.28
SNHG15	na	12.43	8.67
6030458C11RIK	na	12.2	8.51
HDDC2	na	39.67	27.68
RNF123	na	25.95	18.11
BC003331	na	13.34	9.31
ABCC4	na	5.0	3.49
KLF11	na	3.51	2.45
RBM12	na	25.54	17.83
SLC29A2	na	1.16	0.81
GPATCH1	na	10.08	7.04
C330027C09RIK	na	30.02	20.97
CYP1B1	na	9.72	6.79
CCT2	na	250.92	175.3
LMBR1L	na	21.22	14.83
DHX16	na	29.33	20.51
DISP1	na	12.01	8.4
MRPL2	na	48.14	33.67
P3H4	na	11.48	8.03
NDUFA4L2	na	3.73	2.61
CACNA2D1	na	0.5	0.35
CNIH1	na	79.92	55.95
MAP7D1	na	42.63	29.85
SPNS2	na	4.37	3.06
NUDT13	na	8.38	5.87
COLEC12	na	6.95	4.87
ALPL	na	1.27	0.89
MED16	na	19.86	13.92
FBXL6	na	21.77	15.26
SLC25A28	na	26.42	18.52
-	na	5.42	0.41	3.8	0.41
ZFP408	na	15.29	10.72
CLTC	na	63.94	44.83
GANC	na	14.12	9.9
PRR14L	na	10.91	7.65
AAK1	na	24.85	17.44
TELO2	na	5.5	3.86
USP9X	na	19.89	13.96
PARP4	na	10.54	7.4
AURKA	na	44.51	31.25
NAALAD2	na	1.41	0.99
AQR	na	26.49	18.6
ASAP1	na	12.53	8.8
COPG1	na	36.34	25.53
EIF2S2	na	96.1	67.52
AARS	na	24.95	17.53
ZFP787	na	16.12	11.33
PKD1	na	5.89	4.14
RPS3A1	na	3285.68	2309.84
NIF3L1	na	13.34	9.38
DNAJC18	na	6.88	4.84
MRPL47	na	31.54	22.19
EIF3E	na	393.34	276.76
TMEM208	na	36.61	25.76
POLR3A	na	8.61	6.06
XPNPEP3	na	5.64	3.97
DDI2	na	17.06	12.01
SH3TC1	na	1.25	0.88
TMEM108	na	5.24	3.69
FNBP1L	na	8.36	5.89
HINT1	na	522.76	368.47
ZFP599	na	3.49	2.46
HIST1H2AE	na	5.22	3.68
GNE	na	16.02	11.3
MIPOL1	na	4.72	3.33
DPP9	na	24.16	17.05
TCF12	na	148.47	104.8
TFE3	na	15.2	10.73
NHLRC2	na	10.58	7.47
ENDOU	na	347.92	245.69
CNOT11	na	26.58	18.77
QK	na	47.28	33.39
LIPG	na	0.92	0.65
USF3	na	9.78	6.91
FAM212B	na	3.51	2.48
NUS1	na	20.55	14.52
INTS9	na	34.86	24.64
RNF215	na	7.47	5.28
GORASP2	na	78.67	55.61
VAT1	na	42.2	29.84
ARHGAP5	na	9.43	6.67
MICU2	na	42.07	29.76
CREBBP	na	16.85	11.92
SLC17A9	na	3.35	2.37
BCL2L15	na	1.06	0.75
NOTCH4	na	1.06	0.75
OAS1C	na	5.85	4.14
FAM76A	na	22.45	15.89
HNRNPH1	na	189.06	133.9
DMXL1	na	9.67	6.85
ZFP128	na	3.02	2.14
GM9958	na	2.61	1.85
3000002C10RIK	na	3.4	2.41
GLMN	na	9.11	6.46
ARHGAP20	na	1.41	1.0
ANAPC4	na	33.29	23.61
NCDN	na	14.62	10.37
TBL3	na	14.16	10.05
MTOR	na	12.94	9.19
EFTUD2	na	48.43	34.4
SKIV2L	na	26.2	18.61
ATR	na	6.09	4.33
SETD1B	na	21.11	15.01
CCDC142	na	3.08	2.19
ZFHX3	na	0.45	0.32
MFSD4A	na	23.31	16.58
DCAF13	na	48.53	34.52
TMEM33	na	13.51	9.61
VCAM1	na	70.74	50.34
RWDD2A	na	2.22	1.58
KDM3B	na	32.09	22.84
ECSCR	na	8.05	5.73
MBP	na	36.55	26.02
MDN1	na	4.2	2.99
GSK3B	na	22.78	16.22
PDPN	na	10.7	7.62
CLSTN1	na	18.91	13.47
PHF12	na	40.18	28.64
ZCCHC24	na	16.02	11.42
DCAKD	na	23.51	16.76
TMEM69	na	18.4	13.12
HK1OS	na	6.24	4.45
GM14325	na	7.6	5.42
TCP1	na	172.61	123.12
CMKLR1	na	7.99	5.7
SNX22	na	2.9	2.07
CSF1R	na	16.57	11.83
CCDC34	na	28.78	20.55
A930015D03RIK	na	6.37	4.55
KANK2	na	3.99	2.85
ATF2	na	30.09	21.5
ZFP606	na	8.62	6.16
SYNPO	na	3.96	2.83
DPP3	na	36.77	26.28
SLC25A22	na	15.88	11.35
C77080	na	4.91	3.51
THNSL2	na	3.86	2.76
SLC35G2	na	1.86	1.33
ZSWIM1	na	5.44	3.89
PRMT5	na	48.02	34.34
PHC2	na	70.98	50.77
1700017B05RIK	na	17.28	12.36
ARHGEF7	na	19.72	14.11
ENY2	na	21.2	15.17
PAN3	na	46.62	33.36
TLR12	na	13.09	9.37
EP300	na	26.11	18.69
LONP1	na	31.69	22.69
ZFP607A	na	5.71	4.09
PPP4R1L-PS	na	3.88	2.78
MAFG	na	4.41	3.16
BLZF1	na	7.48	5.36
MOV10	na	10.21	7.32
WDR92	na	14.63	10.49
TWF1	na	29.3	21.01
ICA1	na	3.43	2.46
TRIP13	na	13.62	9.77
ODC1	na	78.06	56.0
MAP4K4	na	60.9	43.69
MTTP	na	1.77	1.27
SSX2IP	na	9.63	6.91
ADGRL2	na	2.16	1.55
TRIM62	na	3.33	2.39
6330416G13RIK	na	9.39	6.74
PICK1	na	8.54	6.13
IKBKG	na	9.97	7.16
UBE2O	na	6.39	4.59
RABGAP1	na	17.9	12.86
GALNT12	na	20.36	14.63
AHCTF1	na	15.64	11.24
1700096K18RIK	na	7.11	5.11
TMOD2	na	0.32	0.23
RC3H2	na	10.17	7.31
PRPF4	na	10.54	7.58
TNFRSF11A	na	2.03	1.46
SNRPC	na	189.73	136.64
PAICS	na	125.59	90.45
NUFIP1	na	9.58	6.9
RPS17	na	2847.13	2050.7
ZFP623	na	5.65	4.07
CLCF1	na	2.54	1.83
RPL4	na	2461.04	1773.18
CNEP1R1	na	32.97	23.76
LATS1	na	10.32	7.44
EIF4ENIF1	na	37.59	27.1
LUC7L2	na	86.97	62.7
PDCD7	na	13.01	9.38
C1S1	na	18.21	13.13
MUC13	na	1.58	1.14
MGAT4A	na	13.18	9.51
ACSL4	na	15.45	11.15
DBR1	na	17.43	12.58
NRP2	na	3.63	2.62
CPSF7	na	54.37	39.25
GM6712	na	12.59	9.09
NOP58	na	76.92	55.54
SLC37A4	na	6.34	4.58
ZW10	na	20.58	14.87
UBXN4	na	44.52	32.17
STAR	na	2.74	1.98
PRPSAP2	na	23.96	17.32
ZFP442	na	0.65	0.47
1700066M21RIK	na	5.6	4.05
ELK4	na	53.8	38.91
SF3B4	na	73.77	53.36
BRIX1	na	32.64	23.61
FBXO33	na	10.31	7.46
NAIP6	na	0.76	0.55
KLHDC8B	na	1.81	1.31
LPIN3	na	1.05	0.76
MAN2B2	na	18.76	13.58
VAMP3	na	41.54	30.08
TERF2	na	42.34	30.66
POLR3E	na	8.05	5.83
SSR3	na	138.8	100.53
N4BP2	na	19.66	14.24
0610010F05RIK	na	7.11	5.15
RIPK3	na	19.61	14.21
SMPD2	na	19.83	14.37
COPS2	na	58.23	42.2
IFITM2	na	114.4	82.94
OSBPL6	na	1.2	0.87
2610301B20RIK	na	10.12	7.34
PREPL	na	10.21	7.41
UNC50	na	35.24	25.58
NSG2	na	238.17	172.92
LRRC59	na	54.73	39.74
RBM39	na	144.47	104.93
PPP1R37	na	25.73	18.69
MNS1	na	88.67	64.41
CRTC3	na	16.05	11.66
RBM8A	na	51.25	37.25
TGFB1I1	na	2.6	1.89
PTPRK	na	2.71	1.97
CHRNB2	na	0.55	0.4
PCDHGB6	na	1.43	1.04
UBR5	na	24.35	17.71
AFF1	na	52.25	38.01
SERPINH1	na	23.13	16.83
PTGER1	na	17.22	12.53
IRGQ	na	11.31	8.23
MCPH1	na	3.93	2.86
CABIN1	na	29.71	21.63
ZRANB3	na	4.12	3.0
SEC61A1	na	63.81	46.47
XRCC1	na	33.71	24.55
SCHIP1	na	1.62	1.18
ADGRF5	na	4.05	2.95
SNHG8	na	59.22	43.14
RAD23B	na	79.7	58.06
OSGEPL1	na	12.86	9.37
